__store_latitude,__store_longitude,latitude,longitude,store,__batch_group,totalhours,buildingsize,decortype,buildingstyletype,franchisee_grade,drivethruindicator,numberofindoorcustomerareaseats,__store_class,__market_class,__store_bg,__store_class_respop,total_comp_1_mi,total_comp_dma,total_comp_3_mi,total_comp_5_mi,total_comp_adjacent,total_comp_ta,sis_dma,sis_1_mi,sis_3_mi,sis_adjacent,sis_5_mi,sis_ta,__success,__errors
40.85329113050744,-99.985185501979,40.85329113050744,-99.985185501979,1268100,8,0,0,0,0,0,0,0,7,6,310479683003,7,5,392,5,5,5,5,58,0,0,0,0,0,True,0
40.33738793107369,-79.61403054753411,40.33738793107369,-79.61403054753411,3312700,8,0,0,0,0,0,0,0,7,2,421298025002,6,0,1084,17,39,0,15,199,0,0,0,7,0,True,0
32.722929,-96.994726,32.722929,-96.994726,6059600,8,0,0,0,0,0,0,0,5,1,481130162011,4,2,4433,50,97,1,42,378,0,4,0,10,3,True,0
33.78701628695813,-117.94198259176753,33.78701628695813,-117.94198259176753,2613000,8,0,0,0,0,0,0,0,4,1,60590883023,2,9,6752,105,283,1,55,875,0,11,0,37,5,True,0
29.997362,-95.581921,29.997362,-95.581921,1553100,8,0,0,0,0,0,0,0,6,1,482015547001,4,9,3674,47,133,4,34,417,0,6,0,14,4,True,0
40.80606649262459,-90.40118342694248,40.80606649262459,-90.40118342694248,2889400,8,0,0,0,0,0,0,0,7,6,170950015003,7,0,350,0,0,0,0,52,0,0,0,0,0,True,0
39.09483886551975,-84.61172395090536,39.09483886551975,-84.61172395090536,245300,9,0,0,0,0,0,0,0,6,2,390610214211,4,15,1396,32,91,12,32,131,0,3,0,7,2,True,0
35.893728398862706,-84.54638283860152,35.893728398862706,-84.54638283860152,5076700,9,0,0,0,0,0,0,0,7,3,471450306003,7,4,815,20,22,4,21,93,0,1,0,1,1,True,0
29.480358,-98.362168,29.480358,-98.362168,2719400,9,0,0,0,0,0,0,0,5,1,480291316151,4,13,1508,49,100,6,30,136,1,4,1,10,2,True,0
35.374788170187244,-118.9349322241986,35.374788170187244,-118.9349322241986,238000,9,0,0,0,0,0,0,0,5,3,60290011021,4,5,357,37,57,2,17,40,0,4,0,5,3,True,0
43.28359342931425,-73.58707795375085,43.28359342931425,-73.58707795375085,2411900,9,0,0,0,0,0,0,0,7,5,361150880001,6,4,400,10,19,4,9,80,0,3,0,4,2,True,0
33.152762,-96.716256,33.152762,-96.716256,6906400,9,0,0,0,0,0,0,0,5,1,480850305172,4,5,4433,44,124,1,46,378,0,4,0,9,2,True,0
36.026183919060365,-84.23960039630197,36.026183919060365,-84.23960039630197,277200,9,0,0,0,0,0,0,0,6,3,470010204003,6,12,815,26,28,2,27,93,0,2,0,3,2,True,0
40.0665535204411,-82.5196901732579,40.0665535204411,-82.5196901732579,43900,9,0,0,0,0,0,0,0,7,2,390897577005,7,0,1319,2,30,0,2,160,0,0,0,3,0,True,0
40.52270430743896,-105.02537764608869,40.52270430743896,-105.02537764608869,2491100,9,0,0,0,0,0,0,0,6,4,80690016071,4,7,1860,35,67,2,39,233,0,4,0,7,4,True,0
44.148956,-72.655901,44.148956,-72.655901,2430900,9,0,0,0,0,0,0,0,7,6,500239555001,7,1,199,1,1,0,1,37,0,0,0,0,0,True,0
38.97848674227586,-94.85251898388132,38.97848674227586,-94.85251898388132,2553300,10,0,0,0,0,0,0,0,7,2,200910526036,5,3,1321,11,27,3,13,136,0,1,0,2,1,True,0
32.131529,-94.804452,32.131529,-94.804452,3929200,10,0,0,0,0,0,0,0,7,4,484019509004,7,5,451,14,14,5,14,51,0,1,0,1,1,True,0
37.096475,-113.567394,37.096475,-113.567394,269300,10,0,0,0,0,0,0,0,5,5,490532713001,4,12,1488,51,77,1,36,164,1,4,0,6,2,True,0
43.035556,-88.008286,43.035556,-88.008286,592300,10,0,0,0,0,0,0,0,5,2,550790913003,3,7,911,57,163,1,42,126,0,5,0,18,4,True,0
38.73233758123168,-90.35664995852888,38.73233758123168,-90.35664995852888,307700,10,0,0,0,0,0,0,0,5,1,291892134005,4,9,1466,37,126,0,33,194,0,2,0,14,1,True,0
37.75406482423917,-87.06275739287042,37.75406482423917,-87.06275739287042,1022900,10,0,0,0,0,0,0,0,6,5,210590016011,5,14,350,28,49,4,22,58,0,2,0,5,1,True,0
39.78535345897217,-77.71173619365125,39.78535345897217,-77.71173619365125,4909900,10,0,0,0,0,0,0,0,7,5,420550119004,7,4,640,8,8,4,8,100,0,0,0,0,0,True,0
42.94326720406433,-78.86878326296942,42.94326720406433,-78.86878326296942,2975000,10,0,0,0,0,0,0,0,4,2,360290054002,3,14,501,52,111,5,27,74,0,3,0,9,1,True,0
40.73891146580373,-73.29210132414552,40.73891146580373,-73.29210132414552,4621600,10,0,0,0,0,0,0,0,5,1,361031467031,4,2,5316,44,72,2,19,535,0,7,0,12,2,True,0
40.82255658962065,-81.5017718377117,40.82255658962065,-81.5017718377117,2343400,10,0,0,0,0,0,0,0,6,4,391517114023,5,2,1793,27,78,1,28,282,0,1,0,7,1,True,0
32.627236443886304,-117.08751413073156,32.627236443886304,-117.08751413073156,105500,11,0,0,0,0,0,0,0,4,1,60730130004,3,13,1047,69,147,3,36,137,1,8,1,20,4,True,0
42.29892968424759,-85.20943399304514,42.29892968424759,-85.20943399304514,433800,11,0,0,0,0,0,0,0,6,5,260250016001,5,15,854,29,50,2,32,97,0,0,0,2,0,True,0
35.77710664807914,-78.63949928565802,35.77710664807914,-78.63949928565802,5567500,11,0,0,0,0,0,0,0,4,2,371830501001,4,7,1545,45,122,2,18,179,1,4,0,16,2,True,0
36.28094520371832,-115.1344153787391,36.28094520371832,-115.1344153787391,4873900,11,0,0,0,0,0,0,0,6,2,320030036231,4,8,1132,47,114,3,33,107,1,4,0,11,3,True,0
35.21954494331206,-89.91168109184258,35.21954494331206,-89.91168109184258,419900,11,0,0,0,0,0,0,0,6,2,471570205413,4,9,918,28,85,2,23,98,0,2,0,8,1,True,0
44.939712,-92.371102,44.939712,-92.371102,2142000,11,0,0,0,0,0,0,0,7,1,551091208006,7,7,1701,7,7,7,7,312,0,0,0,0,0,True,0
41.865135195425154,-88.1062738396979,41.865135195425154,-88.1062738396979,4803400,11,0,0,0,0,0,0,0,5,1,170438425001,4,8,4155,61,100,2,45,547,1,3,0,9,2,True,0
39.35969440765229,-104.6088223964816,39.35969440765229,-104.6088223964816,2067100,11,0,0,0,0,0,0,0,7,1,80399612082,7,4,1860,5,5,1,5,232,0,0,0,0,0,True,0
39.26367,-81.548495,39.26367,-81.548495,304700,11,0,0,0,0,0,0,0,6,5,541070007012,5,10,93,51,64,1,48,14,0,5,0,7,4,True,0
33.94347590222887,-118.20037395360748,33.94347590222887,-118.20037395360748,1552500,11,0,0,0,0,0,0,0,4,1,60375359024,2,21,6752,115,304,4,42,875,2,13,0,39,5,True,0
36.04672684955561,-86.67649379740597,36.04672684955561,-86.67649379740597,3385500,12,0,0,0,0,0,0,0,6,2,470370191112,4,2,1627,51,92,1,51,202,0,5,0,11,5,True,0
39.79933134129842,-77.03000010659886,39.79933134129842,-77.03000010659886,4642700,12,0,0,0,0,0,0,0,6,5,420010311021,6,0,640,14,28,0,6,100,0,1,0,5,1,True,0
30.539946851141192,-89.67201819685586,30.539946851141192,-89.67201819685586,4702300,12,0,0,0,0,0,0,0,7,6,281099506003,6,3,729,14,14,1,14,134,0,3,0,3,3,True,0
41.34884449165898,-72.93226674215667,41.34884449165898,-72.93226674215667,108500,12,0,0,0,0,0,0,0,4,3,90091656003,4,5,966,38,84,2,16,175,0,5,0,11,1,True,0
36.553996983871805,-87.3977032515701,36.553996983871805,-87.3977032515701,2946900,12,0,0,0,0,0,0,0,6,4,471251011024,5,2,1627,31,45,2,33,202,0,2,0,3,2,True,0
41.78309083952375,-88.31744457511336,41.78309083952375,-88.31744457511336,2366600,12,0,0,0,0,0,0,0,5,1,170898529053,4,11,4155,45,103,5,36,547,0,4,0,8,2,True,0
43.97156313061872,-92.06911603226791,43.97156313061872,-92.06911603226791,1387000,12,0,0,0,0,0,0,0,7,6,271696710001,7,1,226,1,1,1,1,38,0,0,0,0,0,True,0
39.664883,-80.85883,39.664883,-80.85883,617300,12,0,0,0,0,0,0,0,7,7,541030049002,7,9,154,10,10,1,10,26,1,1,0,1,1,True,0
41.381928920237,-81.77965417167358,41.381928920237,-81.77965417167358,4027600,12,0,0,0,0,0,0,0,5,2,390351782052,4,12,1793,58,121,3,40,282,0,6,0,14,4,True,0
40.260880551179625,-82.92583810970713,40.260880551179625,-82.92583810970713,6208600,12,0,0,0,0,0,0,0,7,2,390410116041,6,9,1319,9,19,6,19,160,0,1,0,1,1,True,0
41.67836149874043,-70.9231483602641,41.67836149874043,-70.9231483602641,2917600,13,0,0,0,0,0,0,0,6,2,250056503002,4,8,614,27,58,2,26,86,0,2,0,5,1,True,0
33.592645,-101.941325,33.592645,-101.941325,154400,13,0,0,0,0,0,0,0,6,4,483030104051,5,17,311,41,116,7,39,18,0,3,0,7,2,True,0
40.68088922115683,-82.57103402343945,40.68088922115683,-82.57103402343945,688100,13,0,0,0,0,0,0,0,7,5,391390022005,7,0,1793,6,19,0,17,282,0,1,0,2,2,True,0
43.65064639035448,-93.36024493359297,43.65064639035448,-93.36024493359297,561300,13,0,0,0,0,0,0,0,7,6,270471806002,6,6,136,17,17,3,17,25,0,1,0,1,1,True,0
31.29636622074601,-92.51509631139784,31.29636622074601,-92.51509631139784,6659900,13,0,0,0,0,0,0,0,6,5,220790138003,5,4,117,26,47,3,18,15,1,3,0,6,3,True,0
26.1750458341664,-81.71766167844196,26.1750458341664,-81.71766167844196,312200,13,0,0,0,0,0,0,0,6,4,120210104191,4,6,500,21,49,0,25,68,0,1,0,6,2,True,0
38.82677863444963,-97.59453268326828,38.82677863444963,-97.59453268326828,1254000,13,0,0,0,0,0,0,0,6,6,201690009001,5,7,672,30,37,1,32,86,0,2,0,2,2,True,0
38.6459311253244,-75.62141765686381,38.6459311253244,-75.62141765686381,422500,13,0,0,0,0,0,0,0,7,4,100050504052,6,2,184,17,17,1,19,20,0,1,0,1,2,True,0
33.81887761875677,-84.81328524877509,33.81887761875677,-84.81328524877509,3283000,13,0,0,0,0,0,0,0,7,1,132231205031,6,3,3583,4,9,3,5,378,0,0,0,3,1,True,0
33.596165261281485,-117.2417546799055,33.596165261281485,-117.2417546799055,2426300,13,0,0,0,0,0,0,0,6,1,60650432273,4,9,6752,22,55,2,16,875,0,3,0,5,3,True,0
39.405125404359175,-76.44317614469766,39.405125404359175,-76.44317614469766,3139200,14,0,0,0,0,0,0,0,6,1,240054113092,5,1,1087,30,50,1,36,155,0,1,0,3,1,True,0
38.78821726080104,-121.20654258476382,38.78821726080104,-121.20654258476382,4082700,14,0,0,0,0,0,0,0,5,2,60610211092,5,9,1719,20,90,0,19,251,0,3,0,12,3,True,0
31.467642,-97.19939,31.467642,-97.19939,3418900,14,0,0,0,0,0,0,0,6,4,483090037081,5,8,611,25,73,3,28,58,0,2,0,5,3,True,0
47.11607196702472,-104.70267727725285,47.11607196702472,-104.70267727725285,1639300,14,0,0,0,0,0,0,0,7,7,300210003001,7,0,2,2,2,0,2,0,0,0,0,0,0,True,0
41.58394460143304,-72.50142992440378,41.58394460143304,-72.50142992440378,1166200,14,0,0,0,0,0,0,0,7,2,90075502022,7,2,966,2,3,2,2,175,0,0,0,1,0,True,0
30.23187037438541,-85.89108626730179,30.23187037438541,-85.89108626730179,2934500,14,0,0,0,0,0,0,0,7,5,120050027023,6,8,225,17,20,2,18,28,0,1,0,1,1,True,0
37.24696636805013,-121.88577922982878,37.24696636805013,-121.88577922982878,477300,14,0,0,0,0,0,0,0,5,2,60855029102,3,13,1814,52,128,6,41,279,1,5,0,17,3,True,0
41.26221874775307,-88.21384808028908,41.26221874775307,-88.21384808028908,3691800,14,0,0,0,0,0,0,0,7,1,171978840042,7,3,4155,9,14,3,12,547,0,0,0,1,0,True,0
31.69355223386679,-89.14627480414872,31.69355223386679,-89.14627480414872,1076900,14,0,0,0,0,0,0,0,6,5,280679506001,6,15,163,29,29,0,29,16,0,2,0,2,2,True,0
26.305037,-98.192283,26.305037,-98.192283,6126500,14,0,0,0,0,0,0,0,5,3,482150239041,4,21,724,64,110,4,35,89,0,6,0,13,3,True,0
29.447051,-96.941511,29.447051,-96.941511,3644600,15,0,0,0,0,0,0,0,7,7,482850002002,7,1,1508,3,3,1,3,136,0,0,0,0,0,True,0
38.97804171030665,-89.10370921101072,38.97804171030665,-89.10370921101072,1192300,15,0,0,0,0,0,0,0,7,7,170519508002,7,9,1466,11,11,9,11,194,0,0,0,0,0,True,0
42.191203327611696,-120.34632863977876,42.191203327611696,-120.34632863977876,3693900,15,0,0,0,0,0,0,0,7,7,410379602003,7,0,150,1,1,0,1,26,0,0,0,0,0,True,0
44.750187,-92.80292,44.750187,-92.80292,1121500,15,0,0,0,0,0,0,0,7,1,550939605003,7,1,1701,5,15,1,6,312,0,0,0,2,0,True,0
36.1517496331457,-81.19585238585555,36.1517496331457,-81.19585238585555,665200,15,0,0,0,0,0,0,0,7,6,371939607003,7,13,889,17,27,9,15,107,1,2,1,4,2,True,0
41.79079446389076,-72.50658106502074,41.79079446389076,-72.50658106502074,431100,15,0,0,0,0,0,0,0,6,2,90035143001,4,2,966,41,48,0,39,175,0,6,0,8,6,True,0
