store,longitude,latitude,cbsa_name,dma_name,market_size,store_density,censusregion,censusdivision
316800,-89.794149,43.594398,"Baraboo, WI","Madison, WI",Small Town (6),Rural,Midwest,East North Central
3168000,-85.17988521354572,35.03464379679139,"Chattanooga, TN-GA","Chattanooga, TN",Large City (3),Exurban,South,East South Central
3168100,-85.2451850631756,35.02481264421963,"Chattanooga, TN-GA","Chattanooga, TN",Large City (3),Exurban,South,East South Central
316900,-87.66781324873219,41.93320668308649,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago, IL",Very Large Metro (1),Light Urban,Midwest,East North Central
3169600,-87.73587312655158,41.91670068020117,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago, IL",Very Large Metro (1),Light Urban,Midwest,East North Central
3169800,-87.68404992961891,41.78337996576615,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago, IL",Very Large Metro (1),Suburban,Midwest,East North Central
3169900,-87.826993,44.348155,"Green Bay, WI","Green Bay-Appleton, WI",Medium City (4),Rural,Midwest,East North Central
317000,-88.13592792272853,42.156166532087546,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago, IL",Very Large Metro (1),Exurban,Midwest,East North Central
3170000,-83.2181666479612,36.529893968738726,,"Knoxville, TN",Small Community (7),Rural,South,East South Central
3170200,-117.38130585021166,33.946889468089644,"Riverside-San Bernardino-Ontario, CA","Los Angeles, CA",Very Large Metro (1),Light Suburban,West,Pacific
3170300,-82.38915371535279,34.332184414684434,"Greenwood, SC","Greenville et al, SC-NC",Small City (5),Rural,South,South Atlantic
3170400,-81.93407081085668,34.9506079015867,"Spartanburg, SC","Greenville et al, SC-NC",Medium City (4),Exurban,South,South Atlantic
3170500,-74.25015657491222,40.73660706270617,"New York-Newark-Jersey City, NY-NJ-PA","New York, NY",Very Large Metro (1),Suburban,Northeast,Middle Atlantic
3170800,-80.65034405299816,35.07615231192306,"Charlotte-Concord-Gastonia, NC-SC","Charlotte, NC",Very Large Metro (1),Exurban,South,South Atlantic
3170900,-94.6261454554983,35.240713346294925,"Fort Smith, AR-OK","Ft. Smith et al, AR",Medium City (4),Rural,South,West South Central
317100,-88.09417400978184,42.471936383882564,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago, IL",Very Large Metro (1),Rural,Midwest,East North Central
317200,-76.45559454988113,38.265022323741974,"California-Lexington Park, MD","Washington et al, DC-MD",Small City (5),Exurban,South,South Atlantic
3172000,-73.0333927750042,40.93046021280066,"New York-Newark-Jersey City, NY-NJ-PA","New York, NY",Very Large Metro (1),Exurban,Northeast,Middle Atlantic
3172600,-90.05201212449144,33.112509635407584,,"Jackson, MS",Small Community (7),Rural,South,East South Central
317300,-76.48534795663434,38.290200880122875,"California-Lexington Park, MD","Washington et al, DC-MD",Small City (5),Exurban,South,South Atlantic
