__store_latitude,__store_longitude,latitude,longitude,store,__batch_group,__store_class,__market_class,__store_bg,__store_class_respop,total_comp_1_mi,total_comp_dma,total_comp_3_mi,total_comp_5_mi,total_comp_adjacent,total_comp_ta,sis_dma,sis_1_mi,sis_3_mi,sis_5_mi,sis_ta,sis_adjacent,__success,__errors,totalhours,buildingsize,decortype,buildingstyletype,franchisee_grade,drivethruindicator,numberofindoorcustomerareaseats
36.735876,-78.917665,36.735876,-78.917665,1161800,2,7,7,510839306003,7,9,562,12,19,9,11,67,0,0,1,0,0,True,0,,,,,,,
40.58188097783015,-74.45560560804199,40.58188097783015,-74.45560560804199,1802700,2,5,1,340230004011,4,1,5316,42,88,1,41,535,0,1,7,1,0,True,0,,,,,,,
25.74866567845044,-80.33232023410987,25.74866567845044,-80.33232023410987,364600,2,4,1,120860089014,3,5,1509,72,173,3,29,242,1,11,32,5,0,True,0,,,,,,,
42.252218584560346,-84.37858307541228,42.252218584560346,-84.37858307541228,168500,2,6,5,260750012001,5,9,274,36,55,2,42,38,0,4,7,4,0,True,0,,,,,,,
41.51956203583369,-71.29290635842574,41.51956203583369,-71.29290635842574,346300,2,6,2,440050403042,5,9,614,15,16,3,16,86,0,1,1,1,0,True,0,,,,,,,
47.876787,-122.186176,47.876787,-122.186176,2052100,2,5,1,530610520042,3,2,1633,33,77,1,15,317,0,5,14,3,0,True,0,,,,,,,
40.430105515091945,-80.00717552018986,40.430105515091945,-80.00717552018986,4102200,2,3,2,420031914001,3,13,1084,48,102,0,21,199,4,12,24,7,0,True,0,,,,,,,
45.26785110208918,-122.675464062353,45.26785110208918,-122.675464062353,285600,3,7,1,410050229011,6,3,1125,10,14,2,10,184,0,0,1,0,0,True,0,,,,,,,
39.1569622793413,-77.2118039735775,39.1569622793413,-77.2118039735775,5546400,3,5,1,240317007222,3,13,2523,54,107,1,39,361,1,9,16,6,0,True,0,,,,,,,
40.73154799123728,-73.99430870784566,40.73154799123728,-73.99430870784566,185900,3,1,1,360610059004,1,83,5316,367,672,2,86,535,6,42,74,7,0,True,0,,,,,,,
39.57382579102848,-76.38489571660845,39.57382579102848,-76.38489571660845,2134100,3,6,1,240253032032,5,5,1087,17,30,1,24,155,0,0,0,0,0,True,0,,,,,,,
47.869673,-122.010088,47.869673,-122.010088,3983600,3,7,1,530610522041,6,1,1633,19,19,1,19,317,0,3,3,3,0,True,0,,,,,,,
35.96816258201193,-86.49532789560436,35.96816258201193,-86.49532789560436,2566100,3,6,2,471490423001,5,15,1627,25,55,4,23,202,0,0,4,2,0,True,0,,,,,,,
34.02592959042819,-118.49035119451028,34.02592959042819,-118.49035119451028,1232400,3,3,1,60377015012,3,14,6752,48,104,1,26,875,2,12,21,4,0,True,0,,,,,,,
44.96509188038486,-94.05392302311454,44.96509188038486,-94.05392302311454,2111800,3,7,6,270859501002,7,0,1701,0,1,0,2,312,0,0,0,0,0,True,0,,,,,,,
30.00535,-95.467684,30.00535,-95.467684,281400,3,5,1,482015530021,4,6,3674,55,147,1,19,417,0,5,14,1,0,True,0,,,,,,,
42.514145327366016,-71.20257864321285,42.514145327366016,-71.20257864321285,4767700,3,5,1,250173321004,4,3,2195,28,64,0,27,217,0,2,6,1,0,True,0,,,,,,,
33.47981583635065,-112.1186882350765,33.47981583635065,-112.1186882350765,3115200,3,4,1,40131121001,3,5,2580,67,192,1,18,262,0,6,19,0,0,True,0,,,,,,,
39.81216233998114,-105.1726841175418,39.81216233998114,-105.1726841175418,2869500,3,6,1,80590098422,5,3,1860,11,43,1,15,232,0,1,7,1,0,True,0,,,,,,,
28.873809799371514,-81.68928148729208,28.873809799371514,-81.68928148729208,4512200,3,7,1,120690302072,5,2,1991,2,34,2,7,183,0,0,2,0,0,True,0,,,,,,,
